"Id","VirtualMenuStar","OrderingProcessStar","OnlinePaymentStar","OtherComments","UserOrderId","CreatedDate"
469,5,5,5,,8103,2021-04-11T23:23:07.070379Z
468,5,5,5,,8101,2021-04-11T23:14:04.023491Z
467,5,5,5,,8087,2021-04-11T22:07:21.995683Z
466,4,5,5,,8080,2021-04-11T21:39:40.287767Z
465,4,5,5,,8077,2021-04-11T21:24:42.891257Z
464,5,5,5,,8073,2021-04-11T20:55:05.524896Z
463,5,5,5,,8068,2021-04-11T20:29:32.523962Z
462,4,4,3,,8066,2021-04-11T20:14:44.886886Z
461,5,5,5,,8063,2021-04-11T20:10:25.970962Z
460,4,2,1,I ordered happy hour beers and I got charged the full price 🙁,8020,2021-04-11T05:02:12.145489Z
459,5,5,3,,8047,2021-04-11T02:52:19.601016Z
458,5,5,5,,8039,2021-04-11T00:37:48.740342Z
457,5,3,5,,8035,2021-04-11T00:14:08.388844Z
456,5,5,5,,8024,2021-04-10T23:27:40.9184Z
455,5,5,5,,8017,2021-04-10T23:03:41.665653Z
454,5,5,5,,7998,2021-04-10T21:24:18.299939Z
453,4,4,4,Unsure why we couldn’t select the puffs ,7989,2021-04-10T20:18:51.383611Z
452,4,5,5,,7985,2021-04-10T19:53:18.934966Z
451,5,5,5,,7982,2021-04-10T19:37:02.587476Z
450,5,5,5,,7973,2021-04-10T18:30:38.359899Z
449,3,5,5,More pictures for the food!,7959,2021-04-10T00:21:07.226047Z
448,5,5,5,,7952,2021-04-09T23:57:08.517612Z
447,5,5,5,,7946,2021-04-09T21:42:06.655798Z
446,5,5,5,,7944,2021-04-09T20:48:19.847174Z
445,5,5,5,,7940,2021-04-09T19:23:56.62905Z
444,5,5,5,,7939,2021-04-09T19:13:29.300176Z
443,5,5,5,,7938,2021-04-09T19:02:02.149688Z
442,5,5,5,,7933,2021-04-09T02:40:20.228736Z
441,5,5,5,A default 20% tip is high for food I'm picking up myself.,7932,2021-04-09T01:10:13.615588Z
440,5,5,5,thank you for yesterday and for letting me know of the daily specials.,6399,2021-04-09T01:03:35.780535Z
439,5,5,5,,7929,2021-04-08T23:59:19.575893Z
438,5,5,5,,7927,2021-04-08T23:42:08.028812Z
437,5,5,5,,7925,2021-04-08T23:25:40.543684Z
436,5,5,5,,7920,2021-04-08T20:57:34.67194Z
435,5,5,5,,7919,2021-04-08T20:28:41.779091Z
434,4,3,3,,7912,2021-04-08T18:33:12.865071Z
433,5,5,5,,7898,2021-04-07T00:49:30.314834Z
432,5,5,5,,7889,2021-04-06T01:05:05.570791Z
431,5,5,5,I think everything is good as it is. This is my first time ordering from you.,7887,2021-04-05T05:47:52.965466Z
430,4,5,5,,7878,2021-04-05T01:21:50.993297Z
429,5,5,5,,7849,2021-04-04T22:33:44.793615Z
428,5,5,5,I really appreciate that I can use Apple Pay instead of entering manually my credit card infos,7839,2021-04-04T21:38:53.109567Z
427,5,5,5,,7782,2021-04-04T02:14:46.966945Z
426,5,5,5,Thank you for the amazing gluten free options!!,7778,2021-04-04T00:56:54.55806Z
425,5,5,5,,7753,2021-04-03T21:42:04.420455Z
424,2,1,1,Why tip? We did all the work. ,7743,2021-04-03T20:45:44.946474Z
423,5,5,5,,7712,2021-04-02T23:52:05.185225Z
422,5,5,3,,7674,2021-04-02T21:12:59.323179Z
421,5,5,3,,7651,2021-04-02T19:28:31.045298Z
420,5,5,1,,7650,2021-04-02T19:24:16.336531Z
419,5,5,5,,7628,2021-04-02T00:27:22.761066Z
418,4,4,4,,7618,2021-04-01T23:52:17.518552Z
417,5,5,5,,7590,2021-04-01T04:00:43.184623Z
416,2,5,5,,7566,2021-03-31T22:08:48.578207Z
415,5,5,5,,7565,2021-03-31T21:39:14.246308Z
414,5,5,5,,7521,2021-03-29T20:13:23.835033Z
413,5,5,5,,7504,2021-03-28T22:23:09.708199Z
412,5,5,5,,7483,2021-03-28T19:22:58.171Z
411,5,5,4,,7440,2021-03-27T21:55:59.605124Z
410,4,3,1,I asked the restaurant for a receipt so I can claim for work.  They said they don't have it and it's by email.  I can't find an official receipt to submit for work.  Please get back to me.,7398,2021-03-27T03:32:56.482956Z
409,3,2,1,Payment sent me to Nespresso ad...,7395,2021-03-27T00:49:15.198716Z
408,5,5,5,,7367,2021-03-26T19:24:46.927322Z
407,5,5,5,,7358,2021-03-26T04:20:55.298807Z
